date,sales
24010605,20.151726573314317
24010508,24.91314700761862
24011300,21.957163035486307
24010719,24.48397269004352
24010909,19.053635964568794
24010621,22.54482673262696
24010514,29.68855823404625
24011003,17.34930680111124
24010914,17.08028075907473
24011204,18.261766137294675
24010306,25.818575225084896
24011310,20.584712404076324
24010311,24.3250563788608
24010623,22.885126789062785
24011001,15.035908813234872
24010710,26.555953342768294
24011308,19.121806736113736
24011211,17.955513819052307
24010500,22.36438969064922
24011017,18.902229189141703
24011301,22.04540251587227
24011015,18.48302386061754
24011212,18.710389830427204
24010821,19.55538505723405
24010918,17.37526659807511
24010606,25.395429403655257
24010505,27.56264667687949
24010213,22.43296335770337
24011216,17.941516962089562
24011115,20.34850715174089
24011221,17.794143553754903
24010204,24.34202548385933
24011214,17.590938820361533
24010900,21.7542967247416
24010604,29.15559262035821
24010715,21.597429641835586
24010113,24.739797869848672
24010401,28.117230667508757
24011009,18.90966198166928
24011102,15.746834787531096
24011205,12.24414911331668
24011121,17.477652777919474
24010811,19.159845394736315
24010409,28.273425365507943
24010303,28.21406692230717
24010411,25.878190888355768
24010816,19.54526574371056
24010904,21.58799815376164
24010721,20.825877278134392
24010814,20.961399209707704
24010610,25.33697651156796
24010102,21.133971860343667
24010813,16.18767324299905
24011103,19.99392534061666
24010221,25.97337821439293
24011116,15.163420487437618
24010703,24.246102086683543
24010510,24.48224638261517
24010612,25.283438739615992
24011206,20.648780176960276
24010410,27.763432073272146
24011111,18.784533905497817
24011021,17.763100221740007
24010111,24.5034643145676
24010907,18.286715640219438
24010706,25.24881296181005
24010218,26.22403536592146
24010722,22.118729487038923
24010209,26.37124161383122
24010205,26.156109156848316
24010805,20.947506032290462
24010123,22.965000787935065
24010817,16.55164075269813
24010317,28.19412481777965
24010220,25.69131227851858
24010912,15.91939232556294
24010700,24.19452363833779
24010404,27.83003962473412
24010413,26.744775914176387
24010420,28.4260975893936
24011311,20.02846201099803
24010122,24.924007403147417
24011022,19.460993118063183
24010405,27.390809590371514
24010206,19.92956388404993
24011208,17.11334428491024
24010511,26.327417281163605
24010503,29.09673403759613
24010319,27.17195928308484
24011120,16.069268181423322
24010216,25.139674956541008
24010600,24.07898973239949
24010818,19.92381849916455
24011215,18.394660349766887
24010309,27.199348010717788
24010416,27.03797864075585
24011306,20.21487349599683
24010901,18.33243770798608
24010802,20.594498392661404
24010815,20.73340867567316
24010421,26.85017411964041
24010308,24.010041644008503
24010820,16.430072869526654
24011010,14.348241838243894
24011008,15.516530485072323
24010315,29.612686126451877
24011007,14.05619325037037
24010313,30.502715554845828
24010314,28.73730251770169
24010318,26.42060750396924
24010923,19.087973689863187
24010400,30.036823490694328
